Timestamp | Step | Train Loss | Validation Loss
2025-04-22 23:24:41 | 2460 | 0.141985 | 0.131564
2025-04-22 23:24:45 | 2470 | 0.119747 | 0.131564
2025-04-22 23:24:48 | 2480 | 0.085075 | 0.131564
2025-04-22 23:24:52 | 2490 | 0.086460 | 0.131564
2025-04-22 23:24:56 | 2500 | 0.175945 | 0.131564
2025-04-22 23:26:33 | 2510 | 0.124277 | 0.131564
2025-04-22 23:26:37 | 2520 | 0.085442 | 0.131564
2025-04-22 23:28:09 | 2530 | 0.140032 | 0.097662
2025-04-22 23:28:13 | 2540 | 0.053385 | 0.097662
2025-04-22 23:28:16 | 2550 | 0.097178 | 0.097662
2025-04-22 23:28:20 | 2560 | 0.105025 | 0.097662
2025-04-22 23:28:23 | 2570 | 0.066756 | 0.097662
2025-04-22 23:28:27 | 2580 | 0.095871 | 0.097662
2025-04-22 23:28:31 | 2590 | 0.112458 | 0.097662
2025-04-22 23:28:34 | 2600 | 0.143349 | 0.097662
2025-04-22 23:28:38 | 2610 | 0.114252 | 0.097662
2025-04-22 23:28:42 | 2620 | 0.121015 | 0.097662
2025-04-22 23:28:45 | 2630 | 0.111924 | 0.097662
2025-04-22 23:28:49 | 2640 | 0.121580 | 0.097662
2025-04-22 23:28:52 | 2650 | 0.104867 | 0.097662
2025-04-22 23:28:56 | 2660 | 0.093510 | 0.097662
2025-04-22 23:29:00 | 2670 | 0.097499 | 0.097662
2025-04-22 23:29:03 | 2680 | 0.206463 | 0.097662
2025-04-22 23:29:07 | 2690 | 0.151796 | 0.097662
2025-04-22 23:29:10 | 2700 | 0.291807 | 0.097662
2025-04-22 23:29:14 | 2710 | 0.112892 | 0.097662
2025-04-22 23:29:18 | 2720 | 0.085396 | 0.097662
2025-04-22 23:29:21 | 2730 | 0.148798 | 0.097662
2025-04-22 23:29:25 | 2740 | 0.156975 | 0.097662
2025-04-22 23:29:28 | 2750 | 0.132569 | 0.097662
2025-04-22 23:29:32 | 2760 | 0.077396 | 0.097662
2025-04-22 23:29:36 | 2770 | 0.111411 | 0.097662
2025-04-22 23:29:39 | 2780 | 0.092337 | 0.097662
2025-04-22 23:29:43 | 2790 | 0.106955 | 0.097662
2025-04-22 23:29:46 | 2800 | 0.143204 | 0.097662
2025-04-22 23:29:50 | 2810 | 0.162938 | 0.097662
2025-04-22 23:29:54 | 2820 | 0.076543 | 0.097662
2025-04-22 23:29:57 | 2830 | 0.098933 | 0.097662
2025-04-22 23:30:01 | 2840 | 0.108565 | 0.097662
2025-04-22 23:30:04 | 2850 | 0.144745 | 0.097662
2025-04-22 23:30:08 | 2860 | 0.096086 | 0.097662
2025-04-22 23:30:11 | 2870 | 0.083324 | 0.097662
2025-04-22 23:30:15 | 2880 | 0.052434 | 0.097662
2025-04-22 23:31:19 | 2890 | 0.059524 | 0.070782
2025-04-22 23:31:23 | 2900 | 0.110516 | 0.070782
2025-04-22 23:31:26 | 2910 | 0.045690 | 0.070782
2025-04-22 23:31:30 | 2920 | 0.048459 | 0.070782
2025-04-22 23:31:33 | 2930 | 0.070672 | 0.070782
2025-04-22 23:31:37 | 2940 | 0.061436 | 0.070782
2025-04-22 23:31:41 | 2950 | 0.120672 | 0.070782
2025-04-22 23:31:44 | 2960 | 0.054751 | 0.070782
2025-04-22 23:31:48 | 2970 | 0.092120 | 0.070782
2025-04-22 23:31:51 | 2980 | 0.064928 | 0.070782
2025-04-22 23:31:55 | 2990 | 0.088255 | 0.070782
2025-04-22 23:31:59 | 3000 | 0.035860 | 0.070782
2025-04-22 23:33:13 | 3010 | 0.113009 | 0.070782
2025-04-22 23:33:17 | 3020 | 0.078928 | 0.070782
2025-04-22 23:33:20 | 3030 | 0.100608 | 0.070782
2025-04-22 23:33:24 | 3040 | 0.117485 | 0.070782
2025-04-22 23:33:27 | 3050 | 0.049147 | 0.070782
2025-04-22 23:33:31 | 3060 | 0.176881 | 0.070782
2025-04-22 23:33:35 | 3070 | 0.094520 | 0.070782
2025-04-22 23:33:38 | 3080 | 0.073462 | 0.070782
2025-04-22 23:33:42 | 3090 | 0.100340 | 0.070782
2025-04-22 23:33:46 | 3100 | 0.060830 | 0.070782
2025-04-22 23:33:49 | 3110 | 0.072223 | 0.070782
2025-04-22 23:33:53 | 3120 | 0.141394 | 0.070782
2025-04-22 23:33:56 | 3130 | 0.097670 | 0.070782
2025-04-22 23:34:00 | 3140 | 0.185813 | 0.070782
2025-04-22 23:34:04 | 3150 | 0.197141 | 0.070782
2025-04-22 23:34:07 | 3160 | 0.152853 | 0.070782
2025-04-22 23:34:11 | 3170 | 0.130753 | 0.070782
